,dataset_name,url
86,DermnetNZ,https://dermnetnz.org/imagedetail/38300
87,DermnetNZ,https://dermnetnz.org/imagedetail/38301
88,DermnetNZ,https://dermnetnz.org/imagedetail/38303
89,DermnetNZ,https://dermnetnz.org/imagedetail/38303
90,DermnetNZ,https://dermnetnz.org/imagedetail/38305
91,DermnetNZ,https://dermnetnz.org/imagedetail/38309
92,DermnetNZ,https://dermnetnz.org/imagedetail/38312
93,DermnetNZ,https://dermnetnz.org/imagedetail/38306
94,DermnetNZ,https://dermnetnz.org/imagedetail/38310
95,DermnetNZ,https://dermnetnz.org/imagedetail/38318
96,DermnetNZ,https://dermnetnz.org/imagedetail/38319
97,DermnetNZ,https://dermnetnz.org/imagedetail/38311
98,DermnetNZ,https://dermnetnz.org/imagedetail/38304
99,DermnetNZ,https://dermnetnz.org/imagedetail/38316
100,DermnetNZ,https://dermnetnz.org/imagedetail/38307
101,DermnetNZ,https://dermnetnz.org/imagedetail/38320
102,DermnetNZ,https://dermnetnz.org/imagedetail/38317
103,DermnetNZ,https://dermnetnz.org/imagedetail/38315
104,DermnetNZ,https://dermnetnz.org/imagedetail/38313
105,DermnetNZ,https://dermnetnz.org/imagedetail/38314
106,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-1.jpg) [crop to lesion]
107,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-1.jpg)
108,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-10.jpg)
109,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-11.jpg)
110,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-13.jpg)
111,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-14.jpg)
112,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-15.jpg)
113,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-16.jpg)
114,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-17.jpg)
115,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-18.jpg)
116,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-19.jpg)
117,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-2.jpg)
118,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-20.jpg)
119,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-22.jpg)
120,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-24.jpg)
121,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-25.jpg) [crop to lesion]
122,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-25.jpg)
123,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-26.jpg)
124,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-27.jpg)
125,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-28.jpg)
126,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-29.jpg)
127,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-3.jpg)
128,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-30.jpg)
129,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-31.jpg)
130,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-32.jpg)
131,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-33.jpg)
132,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-34.jpg)
133,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-35.jpg)
134,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-36.jpg)
135,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-37.jpg) [crop to lesion]
136,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-37.jpg)
137,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-39.jpg)
138,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-4.jpg)
139,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-40.jpg)
140,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-41.jpg)
141,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-42.jpg)
142,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-43.jpg)
143,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-44.jpg)
144,DermNet,https://www.kaggle.com/datasets/shubhamgoel27/dermnet/ -> psoriasis-pustular-generalized-45.jpg) [crop to lesion]
